wai_gi,age,wgt,hgt,sex,y_hat,a,b,chunk
83.2,28,80.7,193.5,1,84.58992308562961,143.51113090407605,-44.257355086575195,2.0
82.0,26,86.4,184.0,1,79.30612708265684,148.39605440311087,-41.09611543753412,2.0
85.0,20,90.0,192.0,1,85.51757897390024,145.2274553767099,-31.612396490410866,2.0
88.3,30,93.8,192.7,1,88.7511850230853,163.44689977851533,-47.4185947356163,2.0
90.6,24,86.4,176.0,1,83.36799420406689,145.75555521444338,-37.93487578849303,2.0
89.5,24,89.6,178.0,1,83.2824399205494,149.9803539163113,-37.934875788493045,2.0
91.5,21,87.8,186.7,1,88.91928477870115,143.64315586350943,-33.19301631493141,2.0
91.7,29,82.6,180.3,1,86.25276373405978,147.33985472764383,-45.83797491109572,2.0
86.6,25,88.7,182.9,1,82.89127758131133,150.1123788757447,-39.515495613013584,2.0
90.3,20,94.1,177.2,1,83.63548877572836,150.6404787134782,-31.612396490410873,2.0
81.6,23,86.2,174.0,1,74.50867589898098,144.17125570124293,-36.3542559639725,2.0
76.8,36,75.3,172.7,1,69.68003149751013,146.94377984934374,-56.902313682739546,2.0
85.9,25,87.1,182.2,1,81.96031200047963,147.99997952481073,-39.515495613013584,2.0
72.7,52,61.4,171.5,1,65.51576074863527,149.71630399744456,-82.19223087506822,2.0
82.7,50,76.8,184.2,1,80.0149327232921,167.4076485615165,-79.03099122602714,2.0
82.9,51,72.2,174.0,1,75.65999613315765,162.6547500219151,-80.61161105054771,2.0
76.0,62,64.6,167.0,1,66.43890341977715,167.14359864264975,-97.99842912027366,2.0
90.2,41,79.1,171.2,1,80.88100639843418,158.56197627948055,-64.80541280534226,2.0
89.4,40,78.9,181.6,1,84.79342839502723,156.97767676628004,-63.22479298082171,2.0
86.0,24,90.9,197.1,1,88.66924131327079,151.69667838894514,-37.934875788493045,2.0
98.5,34,93.0,180.1,1,92.1861902136746,167.67169848038324,-53.741074033698474,2.0
79.6,40,72.5,180.6,1,75.66992521084089,148.52807936254422,-63.22479298082172,2.0
88.6,33,83.4,177.1,1,82.08548417376574,153.67705278044576,-52.16045420917793,2.0
80.3,44,73.4,174.0,1,73.35735566480429,154.99730237477948,-69.5472722789039,2.0
83.4,25,86.4,184.9,1,80.94589830412383,147.07580480877712,-39.51549561301357,2.0
80.3,37,72.0,178.1,1,75.17906717441525,143.9072057823762,-58.48293350726011,2.0
88.6,32,83.2,180.3,1,83.5073077910231,152.09275326724529,-50.579834384657374,2.0
86.2,27,86.4,186.7,1,84.22544074705777,149.71630399744458,-42.676735262054656,2.0
101.0,38,88.6,174.0,1,91.68991631669444,167.14359864264975,-60.06355333178062,2.0
90.0,44,84.1,175.3,1,82.52559171817185,169.12397303415034,-69.5472722789039,2.0
75.9,37,75.5,177.8,1,71.14899503308405,148.52807936254425,-58.4829335072601,2.0
96.0,28,93.2,180.3,1,90.06097681633648,160.01425083324764,-44.257355086575195,2.0
84.0,33,82.7,180.3,1,79.43340542393639,152.75287806441213,-52.16045420917793,2.0
85.7,29,83.6,188.0,1,84.36024111688522,148.66010432197757,-45.837974911095756,2.0
82.5,27,85.5,198.1,1,86.01385287088036,148.52807936254422,-42.676735262054656,2.0
94.7,34,90.9,175.3,1,86.68805718019522,164.89917433228243,-53.74107403369845,2.0
105.2,42,85.9,166.4,1,92.03273521304828,168.8599231152836,-66.3860326298628,2.0
86.0,29,89.1,190.5,1,85.73673010267754,155.92147709081306,-45.83797491109575,2.0
90.9,41,75.0,166.4,1,79.36821263710485,153.14895294271227,-64.80541280534226,2.0
92.4,43,77.7,177.8,1,85.76190569763418,159.35412603608074,-67.96665245438335,2.0
96.5,43,86.4,179.7,1,90.23720036278408,170.84029750678417,-67.96665245438334,2.0
98.4,29,90.9,172.7,1,88.80966000383032,158.29792636061376,-45.83797491109575,2.0
97.4,45,84.5,167.6,1,85.65799766445974,170.97232246621758,-71.12789210342444,2.0
95.6,22,108.6,190.5,1,94.2387872165976,172.42459701998462,-34.77363613945194,2.0
84.5,34,80.9,190.5,1,84.40828367862753,151.69667838894517,-53.74107403369846,2.0
87.8,34,80.2,176.5,1,81.11038748603664,150.77250367291157,-53.74107403369847,2.0
85.0,29,84.1,172.7,1,76.94220528231688,149.32022911914444,-45.837974911095756,2.0
90.0,42,76.8,172.7,1,81.37036002915025,156.84565180684672,-66.38603262986283,2.0
81.0,31,80.9,177.8,1,75.66571287485408,147.73592960594397,-48.99921456013682,2.0
86.5,30,80.9,182.9,1,82.80271448637467,146.41568001161028,-47.41859473561631,2.0
93.9,27,85.5,170.2,1,83.71352103069799,148.52807936254422,-42.676735262054656,2.0
90.3,34,84.1,190.5,1,89.54494318495423,155.92147709081308,-53.74107403369848,2.0
86.5,43,71.8,175.3,1,79.4258833953885,151.5646534295118,-67.96665245438334,2.0
89.1,22,95.9,193.0,1,89.59298574669651,155.65742717194632,-34.77363613945194,2.0
93.9,38,91.4,171.4,1,84.2467048871695,170.8402975067842,-60.06355333178062,2.0
98.5,29,96.8,177.8,1,91.16425448877088,166.08739896718276,-45.83797491109574,2.0
94.9,37,82.7,167.6,1,83.44392029104307,158.03387644174705,-58.482933507260086,2.0
87.6,29,91.8,186.7,1,85.4653240761711,159.48615099551415,-45.83797491109574,2.0
83.7,30,84.1,188.0,1,82.58897921815188,150.6404787134782,-47.4185947356163,2.0
92.1,37,85.9,188.0,1,90.02827919283195,162.258675143615,-58.48293350726009,2.0
89.9,34,81.8,177.8,1,83.54782832421748,152.88490302384554,-53.741074033698474,2.0
88.7,28,82.5,174.0,1,80.79665563948436,145.88758017387676,-44.257355086575195,2.0
84.5,28,81.8,185.4,1,82.14225228862361,144.96340545784315,-44.257355086575195,2.0
88.8,25,91.4,188.0,1,87.10569705992191,153.67705278044576,-39.515495613013584,2.0
82.9,49,69.1,175.3,1,76.23761197766845,155.92147709081306,-77.4503714015066,2.0
84.5,42,80.5,188.0,1,83.29748397764521,161.73057530588147,-66.3860326298628,2.0
84.2,23,86.4,175.3,1,77.38893221184514,144.43530562010966,-36.354255963972506,2.0
84.7,56,70.9,175.3,1,77.83174768652847,167.5396735209499,-88.5147101731504,2.0
98.6,18,93.2,170.8,1,88.14257842095708,146.81175488991036,-28.451156841369787,2.0
90.0,21,93.2,188.0,1,88.16845419916191,150.77250367291157,-33.193016314931405,2.0
86.6,45,77.7,180.3,1,81.73604589228975,161.99462522474823,-71.12789210342444,2.0
88.4,42,75.0,168.9,1,78.26493496467049,154.469202537046,-66.38603262986281,2.0
81.0,29,83.6,185.4,1,79.04254396584025,148.66010432197757,-45.837974911095756,2.0
88.8,40,85.5,180.3,1,83.68443398089644,165.69132408888268,-63.224792980821746,2.0
81.5,62,66.8,167.6,1,71.57646556952963,170.04814775018394,-97.99842912027367,2.0
87.6,26,87.3,182.9,1,83.77690853067801,149.5842790380112,-41.09611543753412,2.0
97.0,37,88.6,180.3,1,90.94660776570316,165.82334904831603,-58.48293350726009,2.0
82.0,34,75.5,167.6,1,72.01928104421296,144.56733057954304,-53.74107403369848,2.0
99.5,25,101.4,186.7,1,96.00433237363453,166.87954872378305,-39.51549561301358,2.0
