phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
apple,Apple iPhone 12 Pro,481.68,512,6,259.6367394304739,997.1148521212756,-693.4706027947248,9.0
apple,Apple iPhone 14 Pro,767.04,256,6,346.11813416702387,1026.5763407879294,-1104.3009698714202,9.0
apple,Apple iPhone 15,743.57,256,6,339.0053000821247,1003.0252120751788,-1070.5114103140536,9.0
apple,Apple iPhone 15 Plus,814.03,256,6,360.3589553706631,1073.728771048354,-1171.952073561264,9.0
apple,Apple iPhone 13,538.92,512,4,245.83237187578385,1054.5527135408695,-775.8785443824387,9.0
google,Google Pixel 9,803.27,256,12,450.55270457522624,1062.9315769729728,-1156.4609929972564,9.0
honor,Honor 200,517.32,512,12,363.8925040393541,1032.8780488542304,-744.7812079342447,9.0
motorola,Motorola Edge 30 Ultra,790.56,256,8,384.3976819814693,1050.1776423356032,-1138.162514003898,9.0
motorola,Motorola Edge 50 Neo,497.73,512,12,357.95554538050555,1013.2203321314865,-716.5776514055354,9.0
motorola,Motorola Edge 50 Pro,544.83,512,12,372.22970325859467,1060.4831426287417,-784.387121160625,9.0
oneplus,OnePlus Nord 4,482.76,512,16,415.7218484399631,998.1985853556077,-695.0254696171346,9.0
samsung,Samsung Galaxy S22 Ultra 5G,544.31,512,12,372.0721117066497,1059.9613451455443,-783.6384815794645,9.0
samsung,Samsung Galaxy Z Fold3 5G,550.8,512,12,374.03897549919327,1066.4737791185207,-792.9820794289452,9.0
samsung,Samsung Galaxy S24 FE,808.92,256,8,389.96187600783264,1068.6011073192465,-1164.5952499848624,9.0
samsung,Samsung Galaxy Z Flip5,521.56,512,8,302.87435991764823,1037.1327052556817,-750.8854999037051,9.0
samsung,Samsung Galaxy Tab S9 FE+,793.36,256,12,447.549373267968,1052.987321091279,-1142.1936502101453,9.0
samsung,Samsung Galaxy S21 Ultra 5G,548.85,512,12,373.4480071793997,1064.5170385565325,-790.1746809995943,9.0
samsung,Samsung Galaxy S20 Ultra 5G,538.92,512,16,432.7417360500158,1054.5527135408695,-775.8785443824387,9.0
sony,Sony Xperia 5 IV,754.92,256,8,373.596599459705,1014.4144456026487,-1086.8519088643777,9.0
sony,Sony Xperia 1 III,489.83,512,12,355.56136603364985,1005.2930242136881,-705.204088537909,9.0
vivo,vivo V30,752.75,256,8,372.9389577910117,1012.2369445670005,-1083.727778304536,9.0
xiaomi,Xiaomi 13T Pro,496.79,512,12,357.6706683442974,1012.2770828349386,-715.2243413934382,9.0
apple,Apple iPhone 12 Pro Max,500.0,512,6,265.18881102976457,1015.4981788369807,-719.8457511156005,9.0
apple,Apple iPhone 14,530.0,512,6,274.28063133428,1045.6018797906463,-763.0364961825363,9.0
apple,Apple iPhone 14 Plus,569.95,512,6,286.38790537312616,1085.6899748939443,-820.5521716966729,9.0
apple,Apple iPhone 15,829.99,256,6,365.1958037726653,1089.743939955704,-1194.9295499368739,9.0
apple,Apple iPhone 15 Pro,787.49,256,8,383.4672857036405,1047.097030271345,-1133.742661092048,9.0
apple,Apple iPhone 16,829.99,256,8,396.34736446837064,1089.743939955704,-1194.9295499368739,9.0
apple,Apple iPhone 13 Pro,521.15,512,6,271.5985443444479,1036.7212880093148,-750.2952263877901,9.0
asus,Asus ROG Phone 8,799.99,256,16,511.8617869466766,1059.6402390020387,-1151.7388048699381,9.0
google,Google Pixel 9,754.99,256,12,435.9209350984929,1014.4846875715407,-1086.9526872695344,9.0
google,Google Pixel 8 Pro,494.95,512,12,357.1130366989538,1010.4307225097803,-712.5753090293326,9.0
honor,Honor 90,490.0,512,12,355.6128863487088,1005.4636118524255,-705.4488360932883,9.0
